protocol,parties,beta,ping_ms,bandwidth,net_emulated,batch,time_s,mb_party0,rounds,correct
modconv1_preproc,2,2,1,1gbit,no,default,0.017241,1.41022,86,yes
modconv2_preproc,2,4,1,1gbit,no,default,0.011129,0.458999,62,yes
modconv3_preproc,2,-,1,1gbit,no,default,0.018942,1.41022,86,yes
