protocol,parties,beta,ping_ms,bandwidth,net_emulated,latency_ms,throughput_dec_per_sec,batch,threads,mismatches
modconv1,4,2,1,1gbit,yes,6.9114,13092.7,2000,1,0
modconv2,4,8,1,1gbit,yes,11.2416,33674.5,2000,1,0
