protocol,parties,beta,ping_ms,bandwidth,net_emulated,latency_ms,throughput_dec_per_sec,batch,threads,mismatches
modconv1,4,2,1,1gbit,yes,6.9323,41633.5,1000,2,0
modconv2,4,8,1,1gbit,yes,6.6904,43596.0,1000,2,0
